filename,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s,duration,duration_m,rowNo,type,stim1,textColor,key,condition1,condition2,feedback,stimFormat,ITI,keyboard,random,head,responseType,responseOptions,responseOther,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,65,test,BLUE,green,right,critical,incongruent,,word,800,left up right,2,,,,,800,48,16.67,118584,right,418,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,63,test,BLUE,green,right,critical,incongruent,,word,800,left up right,2,,,,,800,48,16.67,120274,right,892,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,59,test,RED,blue,up,critical,incongruent,,word,800,left up right,2,,,,,800,48,16.67,121567,up,502,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,53,test,BLUE,blue,up,critical,congruent,,word,800,left up right,2,,,,,801,48,16.69,123157,up,789,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,71,test,CAR,green,right,filler,,,word,800,left up right,2,,,,,800,48,16.66,124434,right,487,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,68,test,GREEN,red,left,critical,incongruent,,word,800,left up right,2,,,,,800,48,16.66,125928,left,696,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,55,test,GREEN,green,right,critical,congruent,,word,800,left up right,2,,,,,800,48,16.67,127538,right,823,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,56,test,GREEN,green,right,critical,congruent,,word,800,left up right,2,,,,,800,48,16.68,129119,right,788,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,57,test,GREEN,green,right,critical,congruent,,word,800,left up right,2,,,,,800,48,16.66,130585,right,671,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,47,test,RED,red,left,critical,congruent,,word,800,left up right,2,,,,,800,48,16.66,131998,left,617,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,64,test,BLUE,red,left,critical,incongruent,,word,800,left up right,2,,,,,800,48,16.67,133989,left,1191,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,48,test,RED,red,left,critical,congruent,,word,800,left up right,2,,,,,800,48,16.67,135252,left,470,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,51,test,BLUE,blue,up,critical,congruent,,word,800,left up right,2,,,,,800,48,16.66,136498,up,451,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,73,test,CAR,red,left,filler,,,word,800,left up right,2,,,,,800,48,16.67,137770,left,473,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,46,test,RED,red,left,critical,congruent,,word,800,left up right,2,,,,,800,48,16.66,138983,left,420,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,60,test,RED,green,right,critical,incongruent,,word,800,left up right,2,,,,,800,48,16.67,140489,right,710,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,66,test,GREEN,red,left,critical,incongruent,,word,800,left up right,2,,,,,800,48,16.67,142305,left,1025,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,61,test,RED,blue,up,critical,incongruent,,word,800,left up right,2,,,,,800,48,16.66,144373,up,1275,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,54,test,GREEN,green,right,critical,congruent,,word,800,left up right,2,,,,,800,48,16.67,146698,right,1535,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,52,test,BLUE,blue,up,critical,congruent,,word,800,left up right,2,,,,,800,48,16.67,149225,up,1728,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,77,test,SHOE,blue,up,filler,,,word,800,left up right,2,,,,,801,48,16.68,150463,up,449,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,72,test,CAR,blue,up,filler,,,word,800,left up right,2,,,,,800,48,16.67,151653,up,390,1,
